0000 | ILLEGAL OPCODE
0087 | b'*** BREAK INTO MONITOR AT $0088 ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [89000F104CF216F000000000]\nReady.\n> '
0088 | b'*** BREAK INTO MONITOR AT $0088 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [89000F104CF216F000000000]\nReady.\n> '
0089 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
008A | b'*** BREAK INTO MONITOR AT $008A ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [8B000F104CF216F000000000]\nReady.\n> '
008B | b'*** BREAK INTO MONITOR AT $008E ***\nR0=$409A R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [8F000F104CF216F000000000]\nReady.\n> '
008C | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$00FF R2=$0001 R3=$0001\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
008D | b'*** BREAK INTO MONITOR AT $008E ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [8F000F104CF216F000000000]\nReady.\n> '
008E | b'*** BREAK INTO MONITOR AT $008E ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [8F000F104CF216F000000000]\nReady.\n> '
008F | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$00FF R2=$0001 R3=$0001\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0090 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$00FF R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0091 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0092 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0093 | b'*** BREAK INTO MONITOR AT $A200 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF6 [01A296000F104CF216F00000]\nReady.\n> '
0094 | b'*** BREAK INTO MONITOR AT $0094 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [95000F104CF216F000000000]\nReady.\n> '
0095 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0096 | b'*** BREAK INTO MONITOR AT $0096 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [97000F104CF216F000000000]\nReady.\n> '
0097 | b'*** BREAK INTO MONITOR AT $0097 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [98000F104CF216F000000000]\nReady.\n> '
0098 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0099 | b'*** BREAK INTO MONITOR AT $AA00 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF6 [01AA9C000F104CF216F00000]\nReady.\n> '
009A | b'*** BREAK INTO MONITOR AT $009A ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [9B000F104CF216F000000000]\nReady.\n> '
009B | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0001\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
009C | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0001\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
009D | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
009E | b'*** BREAK INTO MONITOR AT $009F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [A0000F104CF216F000000000]\nReady.\n> '
009F | b'*** BREAK INTO MONITOR AT $009F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [A0000F104CF216F000000000]\nReady.\n> '
00A0 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00A1 | b'0000*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00A2 | b'0000*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
00A3 | b'*** BREAK INTO MONITOR AT $00A4 ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEF8 [A5000F104CF216F000000000]\nReady.\n> '
